scenario,distribution,days,density
current_nsw_case_init_0.8,isolation_swab,14,4.246434872306379e-16
current_nsw_case_init_0.8,test_turnaround_time,14,3.2432933327155634e-4
current_nsw_case_init_0.8,time_to_interview,14,7.899134133373839e-5
current_nsw_case_init_0.8,interview_isolation,14,4.246434872306379e-16
current_vic_case_init_0.2,isolation_swab,0,0.6065306597126334
current_vic_case_init_0.2,test_turnaround_time,0,0.08005381769256643
current_vic_case_init_0.2,time_to_interview,0,0.6591696896412738
current_vic_case_init_0.2,interview_isolation,0,0.6065306597126334
current_vic_case_init_0.2,isolation_swab,1,0.3032653298563167
current_vic_case_init_0.2,test_turnaround_time,1,0.7307433568785738
current_vic_case_init_0.2,time_to_interview,1,0.2876259572752922
